,id,text,author
16477,id01331,It is now rendered necessary that I give the facts as far as I comprehend them myself.,Edgar Alan Poe
3960,id05331,"You are dear to us, because you wear the frail shape of humanity; each one among you will find a friend and host among these forces.",Mary Wollstonecraft Shelley 
6062,id10988,"He was curiously unelated over his impending escape, and almost dreaded the exertion, for his form had the indolent stoutness of early middle age.",HP Lovecraft
4435,id19248,Then it was obvious that the pursuers were gaining.,HP Lovecraft
15065,id13637,"I almost saw them, but I knew how to stop.",HP Lovecraft
6725,id01612,"ten or twenty maouths or trunks a stickin' aout all along the sides, big as stovepipes, an' all a tossin' an' openin' an' shuttin' . . .",HP Lovecraft
9160,id03779,"By this time two policemen had arrived; and Dr. Morgan, meeting them in the vestibule, was urging them for their own sakes to postpone entrance to the stench filled reading room till the examiner came and the prostrate thing could be covered up.",HP Lovecraft
2306,id04261,"The movement of the jaws, in this effort to cry aloud, showed me that they were bound up, as is usual with the dead.",Edgar Alan Poe
3034,id05037,"It was not will that she wanted, but the capacity; again and again she declared, it were as easy to enchain the sea, to put reins on the wind's viewless courses, as for her to take truth for falsehood, deceit for honesty, heartless communion for sincere, confiding love.",Mary Wollstonecraft Shelley 
17003,id15860,"We come,"" he exclaimed, springing forwards, ""for what should we wait?",Mary Wollstonecraft Shelley 
3910,id11735,"The head had been removed, so that the possibilities of quasi intelligent life in the trunk might be investigated.",HP Lovecraft
8053,id14381,"Then he knew he must go into the past and merge himself with old things, and day after day he thought of the hills to the north where haunted Arkham and the rushing Miskatonic and the lonely rustic homestead of his people lay.",HP Lovecraft
1563,id14280,And there is an indistinct murmur which cometh out from among them like the rushing of subterrene water.,Edgar Alan Poe
17126,id11822,"There the scions of a conquering race indeed flourished free from the restrictions of their fellows, but cowered in an appalling slavery to the dismal phantasms of their own minds.",HP Lovecraft
6651,id19962,"Descending to Elwood's room he roused his still sleeping host and began telling of how he had found himself, but Elwood could form no idea of what might really have happened.",HP Lovecraft
1678,id26014,"Barzai knew so much of the gods that he could tell of their comings and goings, and guessed so many of their secrets that he was deemed half a god himself.",HP Lovecraft
16600,id06022,In this state of mind I wrote to Elizabeth.,Mary Wollstonecraft Shelley 
8643,id03357,"I touched it; and the head, with about a quarter of an inch of the shank, came off in my fingers.",Edgar Alan Poe
13649,id25943,"The sun might shine or the clouds might lower, but nothing could appear to me as it had done the day before.",Mary Wollstonecraft Shelley 
18507,id05268,"If infection depended upon the air, the air was subject to infection.",Mary Wollstonecraft Shelley 
8570,id07077,"In the meantime the wind is still in our poop, and, as we carry a crowd of canvas, the ship is at times lifted bodily from out the sea Oh, horror upon horror the ice opens suddenly to the right, and to the left, and we are whirling dizzily, in immense concentric circles, round and round the borders of a gigantic amphitheatre, the summit of whose walls is lost in the darkness and the distance.",Edgar Alan Poe
7206,id01529,"Occasionally an opposite pair, both leaning forward, almost met across the street like an arch; and certainly they kept most of the light from the ground below.",HP Lovecraft
8887,id24220,"The sea, or rather the vast river of ice, wound among its dependent mountains, whose aerial summits hung over its recesses.",Mary Wollstonecraft Shelley 
7532,id21641,"A coachman held the reins on the box, and a footman and page were in their places behind.",Edgar Alan Poe
2975,id03832,"To be confronted in a place as thoroughly deserted as I had deemed the old castle with evidence of the presence of man or spirit, produced in my brain a horror of the most acute description.",HP Lovecraft
7450,id06635,"The poor perceived that the rich possessed other means of preservation than those which could be partaken of by themselves, seclusion, and, as far as circumstances permitted, freedom from care.",Mary Wollstonecraft Shelley 
19243,id10399,"Scoffing devil Again do I vow vengeance; again do I devote thee, miserable fiend, to torture and death.",Mary Wollstonecraft Shelley 
17334,id07185,"Let us endeavor to ascertain, by repeated questionings of Madame Deluc and her boys, as well as of the omnibus driver, Valence, something more of the personal appearance and bearing of the 'man of dark complexion.' Queries, skilfully directed, will not fail to elicit, from some of these parties, information on this particular point or upon others information which the parties themselves may not even be aware of possessing.",Edgar Alan Poe
823,id16189,He admitted that the principles that I laid down were the best; but he denied that they were the only ones.,Mary Wollstonecraft Shelley 
5927,id04132,"""And now what are we to make of the argument, that the body found could not be that of Marie Rogêt, because, three days only having elapsed, this body was found floating?",Edgar Alan Poe
6500,id22437,"Upon coming back, after the death of Lady Jermyn, he himself assumed complete care of the boy.",HP Lovecraft
5095,id20076,"At certain stages of the ritual they did grovelling obeisance, especially when he held above his head that abhorrent Necronomicon he had taken with him; and I shared all the obeisances because I had been summoned to this festival by the writings of my forefathers.",HP Lovecraft
15119,id09662,"And for this reason when a man's diddled we say he's ""done.""",Edgar Alan Poe
5106,id16199,It is rather fortunate that Elwood was not in Arkham in that later year when certain events abruptly renewed the local whispers about elder horrors.,HP Lovecraft
9464,id27178,"There was an air of anxiety, sometimes of terror in the new comers, strongly contrasted with the resigned and even satisfied mien of those who had had audience.",Mary Wollstonecraft Shelley 
2202,id15566,"""For his nose"" shouted her Grace.",Edgar Alan Poe
13657,id19342,"We past down the steep hill, and entered the dusky avenue of the Long Walk.",Mary Wollstonecraft Shelley 
7010,id22430,"For himself, he added, he had, some years since, made the acquaintance of Maillard, and would so far assist me as to ride up to the door and introduce me; although his feelings on the subject of lunacy would not permit of his entering the house.",Edgar Alan Poe
16968,id01165,"The worst thing for a while was keeping Joe Mazurewicz quiet; for the brooding loomfixer would never stay sober, and was constantly whining and muttering about spectral and terrible things.",HP Lovecraft
6776,id11996,"Our lonely house was seemingly alive with the presence of some malign being whose nature we could not guess, and every night that daemoniac baying rolled over the windswept moor, always louder and louder.",HP Lovecraft
13131,id10249,"Though well above the middle stature, and of somewhat brawny frame, he was given an absurd appearance of harmless stupidity by the pale, sleepy blueness of his small watery eyes, the scantiness of his neglected and never shaven growth of yellow beard, and the listless drooping of his heavy nether lip.",HP Lovecraft
5598,id19084,You see the things that float and flop about you and through you every moment of your life?,HP Lovecraft
13305,id09540,"What boots it to tell of the long, long hours of horror more than mortal, during which I counted the rushing vibrations of the steel Inch by inch line by line with a descent only appreciable at intervals that seemed ages down and still down it came Days passed it might have been that many days passed ere it swept so closely over me as to fan me with its acrid breath.",Edgar Alan Poe
18725,id16803,"It may seem strange that in spite of the continual anxiety occasioned me by the rivalry of Wilson, and his intolerable spirit of contradiction, I could not bring myself to hate him altogether.",Edgar Alan Poe
10870,id04122,"I saw from the beginning that he was both interested and sympathetic, and when I had finished he analysed and discussed the thing with the greatest shrewdness and judgment.",HP Lovecraft
15469,id14409,"Two titan swaths of destruction stretched from the glen to the Frye farmyard, monstrous prints covered the bare patches of ground, and one side of the old red barn had completely caved in.",HP Lovecraft
19409,id06591,The native modesty of his disposition conquered the joy of his triumph.,Mary Wollstonecraft Shelley 
10185,id13257,"Clara got rid also of her restraint; Adrian and she had been old playfellows; and now, as they walked or rode together, he yielded to her earnest entreaty, and repeated, for the hundredth time, some tale of her father's bravery, munificence, or justice.",Mary Wollstonecraft Shelley 
982,id11824,"In especial, the slightest appearance of mystery of any point I cannot exactly comprehend puts me at once into a pitiable state of agitation.",Edgar Alan Poe
4951,id02159,"""After a thorough investigation of every portion of the house, without farther discovery, the party made its way into a small paved yard in the rear of the building, where lay the corpse of the old lady, with her throat so entirely cut that, upon an attempt to raise her, the head fell off.",Edgar Alan Poe
11132,id11184,"why, not General John A. B. C.?"" ""Smith?"" inquired Miranda, musingly.",Edgar Alan Poe
16251,id14449,"As we heard this suggestion of baying we shuddered, remembering the tales of the peasantry; for he whom we sought had centuries before been found in this selfsame spot, torn and mangled by the claws and teeth of some unspeakable beast.",HP Lovecraft
1753,id23338,I am an entity like that which you yourself become in the freedom of dreamless sleep.,HP Lovecraft
11118,id23238,My own case differed in no important particular from those mentioned in medical books.,Edgar Alan Poe
1498,id02368,It had been an eldritch thing no wonder sensitive students shudder at the Puritan age in Massachusetts.,HP Lovecraft
8884,id00159,Where if anywhere had he been on those nights of daemoniac alienage?,HP Lovecraft
12860,id08613,"Such a step, he said, would require only two stages; first, a passage out of the three dimensional sphere we know, and second, a passage back to the three dimensional sphere at another point, perhaps one of infinite remoteness.",HP Lovecraft
13217,id16213,"I don't believe they've had any glass for an hundred years or more maybe the boy broke 'em if he got that far; the legend doesn't say.""",HP Lovecraft
7460,id06002,"And dogs barked as the yellow light of small paned windows shone out at the farther turn, and the Pleiades twinkled across the open knoll where a great gambrel roof stood black against the dim west.",HP Lovecraft
6379,id17273,"Some of the Whateleys and Bishops still send their eldest sons to Harvard and Miskatonic, though those sons seldom return to the mouldering gambrel roofs under which they and their ancestors were born.",HP Lovecraft
6085,id09597,"It is quite certain, however, that he is never to be seen during the exhibition of the Chess Player, although frequently visible just before and just after the exhibition.",Edgar Alan Poe
8744,id24216,"Ryland was roused to resistance; he asserted that his sufferance alone had permitted the encrease of this party; but the time for indulgence was passed, and with one motion of his arm he would sweep away the cobwebs that blinded his countrymen.",Mary Wollstonecraft Shelley 
6135,id04180,"CHAPTER V. WHEN we arrived at Windsor, I found that Raymond and Perdita had departed for the continent.",Mary Wollstonecraft Shelley 
12972,id22760,Presently he realised what he was listening for the hellish chant of the celebrants in the distant black valley.,HP Lovecraft
10517,id25007,I burned with rage to pursue the murderer of my peace and precipitate him into the ocean.,Mary Wollstonecraft Shelley 
924,id10735,"His health was impaired beyond hope of cure; and it became his earnest wish, before he died, to preserve his daughter from the poverty which would be the portion of her orphan state.",Mary Wollstonecraft Shelley 
18736,id01174,"My fate has been governed by necessity, a hideous necessity.",Mary Wollstonecraft Shelley 
7445,id17231,"They came from the east and the north, and directed their course without apparent motive, but unanimously towards our unhappy metropolis.",Mary Wollstonecraft Shelley 
13015,id25772,"The proposition, in this form, will be admitted at once by those who love the lyre for its own sake, and for its spiritual uses.",Edgar Alan Poe
18704,id19505,"Among the other transcendant attributes of Mozart's music, it possesses more than any other that of appearing to come from the heart; you enter into the passions expressed by him, and are transported with grief, joy, anger, or confusion, as he, our soul's master, chooses to inspire.",Mary Wollstonecraft Shelley 
10805,id17094,"On May Eve of there were tremors which even the Aylesbury people felt, whilst the following Hallowe'en produced an underground rumbling queerly synchronised with bursts of flame ""them witch Whateleys' doin's"" from the summit of Sentinel Hill.",HP Lovecraft
15664,id26718,"In whatever way the shifting is managed, it is of course concealed at every step from observation.",Edgar Alan Poe
3079,id00091,"When I had attained that point of the ravine in the mountains at which I had encountered the hyena, I again experienced a shock as of a galvanic battery, the sense of weight, of volition, of substance, returned.",Edgar Alan Poe
15296,id27639,"It was a faith of which other Esquimaux knew little, and which they mentioned only with shudders, saying that it had come down from horribly ancient aeons before ever the world was made.",HP Lovecraft
6303,id24116,It might mean the end of all our local work and perhaps prison for both West and me.,HP Lovecraft
3256,id12394,"""Thirteen"" said he. ""Der Teufel"" gasped the little old gentlemen, turning pale, dropping their pipes, and putting down all their right legs from over their left knees.",Edgar Alan Poe
19256,id05828,"In the later dreams he began to distinguish separate categories into which the organic objects appeared to be divided, and which seemed to involve in each case a radically different species of conduct pattern and basic motivation.",HP Lovecraft
17591,id24802,It is with a confused recollection that I bring to mind the circumstances of that meeting.,Edgar Alan Poe
19076,id07884,"""If you please, uncle precisely.""",Edgar Alan Poe
17570,id12670,They upthrew the damp earth.,Edgar Alan Poe
19130,id09187,But now also I began to rEdgar Alan Poe the fruits of my perfect solitude.,Mary Wollstonecraft Shelley 
4224,id25322,"So we retired awhile to Eleusis, and here rest and tender care added each day to the strength of our invalid.",Mary Wollstonecraft Shelley 
900,id27137,Of pain there was some little; of pleasure there was much; but of moral pain or pleasure none at all.,Edgar Alan Poe
12736,id10440,"This reflection thawed my congealing blood, and again the tide of life and love flowed impetuously onward, again to ebb as my busy thoughts changed.",Mary Wollstonecraft Shelley 
10574,id16960,"But the appearance of my father was to me like that of my good angel, and I gradually recovered my health.",Mary Wollstonecraft Shelley 
7544,id10311,"Dark, frail, and somewhat unkempt in aspect, he turned languidly at my knock and asked me my business without rising.",HP Lovecraft
9380,id18724,The disquisitions upon death and suicide were calculated to fill me with wonder.,Mary Wollstonecraft Shelley 
14797,id10994,Somehow thus: Can't be too brief.,Edgar Alan Poe
19102,id17140,I had to tell Harris because he owned the house and deserved to know what had gone out of it.,HP Lovecraft
17629,id22537,"His little old servant Parks, who for years bore patiently with his vagaries, last saw him on the morning he drove off alone in his car with a key he had recently found.",HP Lovecraft
6980,id00698,"And now in the mere exaggeration of the prevailing character of these features, and of the expression they were wont to convey, lay so much of change that I doubted to whom I spoke.",Edgar Alan Poe
4237,id01688,"Curtis, who had held the instrument, dropped it with a piercing shriek into the ankle deep mud of the road.",HP Lovecraft
16433,id15284,"At another, I resolved to dig a grave for it in the floor of the cellar.",Edgar Alan Poe
355,id06383,"Everything is related in them which bears reference to my accursed origin; the whole detail of that series of disgusting circumstances which produced it is set in view; the minutest description of my odious and loathsome person is given, in language which painted your own horrors and rendered mine indelible.",Mary Wollstonecraft Shelley 
3589,id01361,"All, without exception, appeared to deal with black magic in its most advanced and horrible forms; and the evidently recent date of certain items is still a mystery as unsolved as that of the modern human bones.",HP Lovecraft
14465,id16270,"The four others were dark eyed, hardy little vagrants; this child was thin and very fair.",Mary Wollstonecraft Shelley 
14508,id18113,"I now began very clearly to perceive that the object before me was nothing more nor less than my new acquaintance, Brevet Brigadier General John A. B. C. Smith.",Edgar Alan Poe
5936,id05577,I had become captious and unreasonable: my temper was utterly spoilt.,Mary Wollstonecraft Shelley 
10158,id00019,"And when the day dawned, rosy and effulgent, I beheld the green shore of far lands, bright and beautiful, and to me unknown.",HP Lovecraft
17392,id08822,"At the time I saw no reason to dissent from this dictum, but latterly I am inclined to wonder and more than wonder.",HP Lovecraft
17004,id01769,"I pressed it to my lips, while the rough soldiers gathered around, mourning over this worthiest prey of death, as if regret and endless lamentation could re illumine the extinguished spark, or call to its shattered prison house of flesh the liberated spirit.",Mary Wollstonecraft Shelley 
11003,id08706,"""Lionel, you hear: witness for me: persuade your sister to forgive the injury I have done her; persuade her to be mine.""",Mary Wollstonecraft Shelley 
19238,id06884,"It was clear to me that the letter had been turned, as a glove, inside out, re directed, and re sealed.",Edgar Alan Poe
12948,id08835,"Moreover, near neighbors are seldom friends; and the inhabitants of the Castle Berlifitzing might look, from their lofty buttresses, into the very windows of the palace Metzengerstein.",Edgar Alan Poe
8923,id23990,"Thus untaught in refined philosophy, and pursued by a restless feeling of degradation from my true station in society, I wandered among the hills of civilized England as uncouth a savage as the wolf bred founder of old Rome.",Mary Wollstonecraft Shelley 
1204,id23494,During my wanderings I never slept without first calling down gentle dreams on your head.,Mary Wollstonecraft Shelley 
18059,id13959,This circumstance favored me greatly in the project I now determined to adopt.,Edgar Alan Poe
8628,id03645,"Whilst the king and his nobles feasted within the palace, and viewed the crowning dish as it awaited them on golden platters, others feasted elsewhere.",HP Lovecraft
813,id07539,"While such discussions were going on, their subject gradually approached, growing larger in apparent diameter, and of a more brilliant lustre.",Edgar Alan Poe
13577,id17361,"Yet, for a while, I saw; but with how terrible an exaggeration I saw the lips of the black robed judges.",Edgar Alan Poe
158,id03570,It is even possible that the train of my ideas would never have received the fatal impulse that led to my ruin.,Mary Wollstonecraft Shelley 
13448,id24127,"The physician questioned him sharply, and advised him to see a nerve specialist.",HP Lovecraft
17650,id13045,"The reality of what I had been through was highly uncertain in my mind, but I felt that something hideous lay in the background.",HP Lovecraft
15853,id12442,"I might feel gratitude to another but I never more could love or hope as I had done; it was all suffering; even my pleasures were endured, not enjoyed.",Mary Wollstonecraft Shelley 
9979,id23991,"By undue profundity we perplex and enfeeble thought; and it is possible to make even Venus herself vanish from the firmanent by a scrutiny too sustained, too concentrated, or too direct.",Edgar Alan Poe
9027,id20487,"His passions were violent; as these often obtained the mastery over him, he could not always square his conduct to the obvious line of self interest, but self gratification at least was the paramount object with him.",Mary Wollstonecraft Shelley 
15246,id01924,"""Am I for ever,"" he cried, ""to be the sport of fortune Must man, the heaven climber, be for ever the victim of the crawling reptiles of his species Were I as you, Lionel, looking forward to many years of life, to a succession of love enlightened days, to refined enjoyments and fresh springing hopes, I might yield, and breaking my General's staff, seek repose in the glades of Windsor.",Mary Wollstonecraft Shelley 
7282,id15013,It was found in the Bois de Boulogne at a vast distance from the scene of that butchery.,Edgar Alan Poe
5446,id19150,Nor do I doubt his word.,HP Lovecraft
3566,id03695,"One party playing requires another to find a given word the name of town, river, state or empire any word, in short, upon the motley and perplexed surface of the chart.",Edgar Alan Poe
13538,id03597,"The wind howled; the half bare trees were despoiled of the remainder of their summer ornament; the state of the air which induced the decay of vegetation, was hostile to cheerfulness or hope.",Mary Wollstonecraft Shelley 
15740,id15986,"And then say that my father had surely lost his wits ever since my mother's death; that he was mad and that I was fortunate, for in one of his fits he might have killed me instead of destroying his own crazed being.",Mary Wollstonecraft Shelley 
18693,id13990,"His jaws, which had been newly shaved, were tightly tied up by a bandage of muslin; and his arms being fastened in a similar way at the wrists, I prevented him from helping himself too freely to the liquors upon the table; a precaution rendered necessary, in the opinion of Legs, by the peculiarly sottish and wine bibbing cast of his visage.",Edgar Alan Poe
13248,id21896,His life was swallowed up in the existence of his beloved; and his heart beat only in unison with the pulsations that vivified hers.,Mary Wollstonecraft Shelley 
18888,id01707,"The face was so far turned toward the stage that, for some minutes, I could not obtain a view of it but the form was divine; no other word can sufficiently express its magnificent proportion and even the term ""divine"" seems ridiculously feeble as I write it.",Edgar Alan Poe
16630,id16454,"The flood and storms did more harm to continental Europe than to us giving, as it were, the last blow to the calamities which destroyed it.",Mary Wollstonecraft Shelley 
4834,id10119,"Since the affair of the letter, I had been in the habit of watching her house, and thus discovered that, about twilight, it was her custom to promenade, attended only by a negro in livery, in a public square overlooked by her windows.",Edgar Alan Poe
8543,id02304,"The negro had been knocked out, and a moment's examination shewed us that he would permanently remain so.",HP Lovecraft
3961,id25466,"Sleeping thus under the beneficent eye of heaven, can evil visit thee, O Earth, or grief cradle to their graves thy luckless children?",Mary Wollstonecraft Shelley 
3606,id23677,"I was slow, too, in realising that the school of unusual dolphins had vanished.",HP Lovecraft
11707,id25419,"He turned on hearing a noise, and perceiving me, shrieked loudly, and quitting the hut, ran across the fields with a speed of which his debilitated form hardly appeared capable.",Mary Wollstonecraft Shelley 
18789,id10530,"The earth, late wide circus for the display of dignified exploits, vast theatre for a magnificent drama, now presented a vacant space, an empty stage for actor or spectator there was no longer aught to say or hear.",Mary Wollstonecraft Shelley 
15744,id21681,But in a brief period I ceased to think upon the subject; my attention being all absorbed in a contemplated departure for Oxford.,Edgar Alan Poe
2371,id26722,"And the mists of the dawn are thicker, and sailors are not quite so sure that all the muffled seaward ringing is that of the solemn buoys.",HP Lovecraft
2795,id15910,"Yet not to excite fresh agitation in her, ""per non turbar quel bel viso sereno,"" I curbed my delight.",Mary Wollstonecraft Shelley 
13290,id23911,I was aroused to a sense of exquisite pain.,Edgar Alan Poe
4139,id14653,"When our exiles had first arrived, a truce was in existence between the Turks and Greeks; a truce that was as sleep to the mortal frame, signal of renewed activity on waking.",Mary Wollstonecraft Shelley 
2297,id07662,The effect of this scene of incantation communicated a portion of its power to that which followed.,Mary Wollstonecraft Shelley 
19185,id06199,"Condescend therefore to have patience with my ignorance, and to explain your wishes to me; in time I am certain that you will be satisfied.""",Mary Wollstonecraft Shelley 
8990,id04094,The original beauty is never so great as that which may be introduced.,Edgar Alan Poe
12729,id13505,"This state lasted but for an instant; the scream was repeated, and I rushed into the room.",Mary Wollstonecraft Shelley 
11523,id23690,"For a second nobody dared to turn on the light, then Armitage summoned up his courage and snapped the switch.",HP Lovecraft
6510,id13989,"You will not be dishonoured by my society, and as this is probably the last service, or disservice you can do me, will you grant my request?""",Mary Wollstonecraft Shelley 
19147,id11104,The interior of the main compartment is lined throughout with cloth.,Edgar Alan Poe
5358,id17024,"Whatever those might be which descended to me, my noble young friend resolved should not be lost for want of culture.",Mary Wollstonecraft Shelley 
9854,id02360,Let us close this casement; the air is chilling and dangerous to your frame.,Edgar Alan Poe
3264,id14530,I did not receive the expected message from the captain for nearly a week.,Edgar Alan Poe
7709,id23287,Next day he would make some very guarded inquiries and perhaps see the nerve specialist.,HP Lovecraft
8176,id11649,The sun was blazing down from a sky which seemed to me almost black in its cloudless cruelty; as though reflecting the inky marsh beneath my feet.,HP Lovecraft
479,id11506,"This box was three feet and a half long, three feet broad, and two and a half feet deep.",Edgar Alan Poe
5706,id24459,"Among these may be mentioned, as having beyond doubt existed, firstly, the coach invented by M. Camus for the amusement of Louis XIV when a child.",Edgar Alan Poe
19001,id25723,"It contained, when afloat, the captain and his wife, Mr. Wyatt and party, a Mexican officer, wife, four children, and myself, with a negro valet.",Edgar Alan Poe
7684,id24652,"No one can conceive the variety of feelings which bore me onwards, like a hurricane, in the first enthusiasm of success.",Mary Wollstonecraft Shelley 
3137,id01028,"While life was strong within me I thought indeed that there was a sacred horror in my tale that rendered it unfit for utterance, and now about to die I pollute its mystic terrors.",Mary Wollstonecraft Shelley 
18594,id25324,I love you very tenderly.,Mary Wollstonecraft Shelley 
12317,id24460,"He made, however, no attempt to descend as I had expected, but struggled with great vehemence to get back, uttering at the same time very shrill and piercing cries.",Edgar Alan Poe
5488,id25853,I appeal to moralists and sages.,Mary Wollstonecraft Shelley 
17595,id24191,"He speeded up his car as he passed it, and did not slacken till he had mounted the hill where his mother and her fathers before her were born, and where the old white house still looked proudly across the road at the breathlessly lovely panorama of rocky slope and verdant valley, with the distant spires of Kingsport on the horizon, and hints of the archaic, dream laden sea in the farthest background.",HP Lovecraft
14130,id01492,"It seems that in both instances the dying person, in a gentle old lady named Stafford and in a school teacher of middle age named Eleazar Durfee, became transfigured in a horrible way; glaring glassily and attempting to bite the throat of the attending physician.",HP Lovecraft
5272,id10421,"I arrived here yesterday, and my first task is to assure my dear sister of my welfare and increasing confidence in the success of my undertaking.",Mary Wollstonecraft Shelley 
3544,id19557,"""But is that house with the attic window still standing and deserted?""",HP Lovecraft
5944,id05160,"""I now arose hurriedly, and in a state of fearful agitation for the fancy that I dreamed would serve me no longer.",Edgar Alan Poe
5923,id09822,"They roared like the animals they were, and broke instruments and furniture indiscriminately; screaming about such nonsense as the curse of the ivory image and the dark dead youth who looked at them and swam away.",HP Lovecraft
7495,id12343,I was West's closest friend and only confidential assistant.,HP Lovecraft
12391,id13108,"And, in regard to the former branch, we must not fail to hold in view that the very Calculus of Probabilities to which I have referred, forbids all idea of the extension of the parallel: forbids it with a positiveness strong and decided just in proportion as this parallel has already been long drawn and exact.",Edgar Alan Poe
10962,id15822,"The school room was the largest in the house I could not help thinking, in the world.",Edgar Alan Poe
2308,id22209,"If I survive, and she be lost, I were far better dead.",Mary Wollstonecraft Shelley 
1945,id14008,"Our numbers were to move forward in separate parties, and to go by different routes, all to unite at last at Paris.",Mary Wollstonecraft Shelley 
18361,id03678,"A moment later I felt less sure that the deeper sounds were voices, since the apparent hoarse barkings and loose syllabled croakings bore so little resemblance to recognised human speech.",HP Lovecraft
18801,id05636,A neat diddle is this.,Edgar Alan Poe
18413,id21310,"You are, beyond doubt, uninformed of the true character of the person who has to night won at ecarte a large sum of money from Lord Glendinning.",Edgar Alan Poe
7270,id21684,"In this state I was carried back and placed on a bed, hardly conscious of what had happened; my eyes wandered round the room as if to seek something that I had lost.",Mary Wollstonecraft Shelley 
19517,id12057,"""Wal, Sir, it seems by the time Obed knowed them islanders they was all full o' fish blood from them deep water things.",HP Lovecraft
6213,id04773,"With a proper caution and perseverance we shall infallibly trace this boat; for not only can the bargeman who picked it up identify it, but the rudder is at hand.",Edgar Alan Poe
18917,id01422,"Yet, for a wild moment, did my spirit refuse to comprehend the meaning of what I saw.",Edgar Alan Poe
2864,id26881,"I had wished and tried to do more than suspect, and my friend had tried and partly succeeded.",HP Lovecraft
4894,id01640,"The insane yarn I was hearing interested me profoundly, for I fancied there was contained within it a sort of crude allegory based upon the strangenesses of Innsmouth and elaborated by an imagination at once creative and full of scraps of exotic legend.",HP Lovecraft
3287,id13481,"The river swollen by autumnal rains, deluged the low lands, and Adrian in his favourite boat is employed in the dangerous pastime of plucking the topmost bough from a submerged oak.",Mary Wollstonecraft Shelley 
11187,id11299,"Upon my touching him, he immediately arose, purred loudly, rubbed against my hand, and appeared delighted with my notice.",Edgar Alan Poe
9817,id03428,West had never fully succeeded because he had never been able to secure a corpse sufficiently fresh.,HP Lovecraft
9488,id09440,"Poor and rich were now equal, or rather the poor were the superior, since they entered on such tasks with alacrity and experience; while ignorance, inaptitude, and habits of repose, rendered them fatiguing to the luxurious, galling to the proud, disgustful to all whose minds, bent on intellectual improvement, held it their dearest privilege to be exempt from attending to mere animal wants.",Mary Wollstonecraft Shelley 
6744,id02033,"Don't crow, another time, before you're out of the woods Does your mother know you're out?",Edgar Alan Poe
2241,id15689,"Is nervous, and was apprehensive of the consequences of agitation.",Edgar Alan Poe
17266,id03477,"But this difficulty might be easily obviated, either by elevating the seats of the company, or by turning the end of the box towards them during the game.",Edgar Alan Poe
1392,id26660,"Having succeeded in inducing me to accompany him, he seemed unwilling to hold conversation upon any topic of minor importance, and to all my questions vouchsafed no other reply than ""we shall see"" We crossed the creek at the head of the island by means of a skiff; and, ascending the high grounds on the shore of the main land, proceeded in a northwesterly direction, through a tract of country excessively wild and desolate, where no trace of a human footstep was to be seen.",Edgar Alan Poe
16396,id05726,"Glancing upward at the clock on the mantel piece, for I felt too drowsy to take out my watch, I had the pleasure to find that I had still twenty five minutes to spare.",Edgar Alan Poe
14556,id01416,"Though the man Romero had interested me, and though my ring had affected him peculiarly, I think that neither of us had any expectation of what was to follow when the great blast was set off.",HP Lovecraft
15425,id08769,"It had not seen me, but was simply obeying a general plan of cutting off my escape.",HP Lovecraft
7536,id10875,Where had they fled when the next morning I awoke?,Mary Wollstonecraft Shelley 
12512,id27346,"Five of the worshippers lay dead, and two severely wounded ones were carried away on improvised stretchers by their fellow prisoners.",HP Lovecraft
11534,id24100,"I reply that the skull, or death's head, is the well known emblem of the pirate.",Edgar Alan Poe
14824,id00244,"Sometimes, with my sails set, I was carried by the wind; and sometimes, after rowing into the middle of the lake, I left the boat to pursue its own course and gave way to my own miserable reflections.",Mary Wollstonecraft Shelley 
3889,id20976,"The worm was carefully fed on mulberries kind of fruit resembling a water melon and, when sufficiently fat, was crushed in a mill.",Edgar Alan Poe
7722,id27315,"I compassionated him and sometimes felt a wish to console him, but when I looked upon him, when I saw the filthy mass that moved and talked, my heart sickened and my feelings were altered to those of horror and hatred.",Mary Wollstonecraft Shelley 
9709,id16186,Heigho when will any Invention visit the human pericranium?,Edgar Alan Poe
12895,id02042,"It had been determined for us by Talbot, that, as we were to be up all night, we should make our first stop at C , a village about twenty miles from the city, and there get an early breakfast and some repose, before proceeding upon our route.",Edgar Alan Poe
3947,id19509,"P. I wish you would explain yourself, Mr. Vankirk.",Edgar Alan Poe
7443,id11106,Still a hundred or even two hundred miles an hour is slow travelling after all.,Edgar Alan Poe
11015,id04407,"I scraped further, and saw that it had form.",HP Lovecraft
16053,id15016,To day's Sunday isn't it?,Edgar Alan Poe
1477,id16955,What I did succeed in doing was to overhear the nocturnal playing of the dumb old man.,HP Lovecraft
8625,id14457,Yet he would not propose the separation.,Mary Wollstonecraft Shelley 
6439,id20734,"What I have adduced, notwithstanding the minuteness with which I have adduced it, has been with the view, first, to show the folly of the positive and headlong assertions of Le Soleil, but secondly and chiefly, to bring you, by the most natural route, to a further contemplation of the doubt whether this assassination has, or has not been, the work of a gang.",Edgar Alan Poe
15794,id16152,"""Dearest Clerval,"" exclaimed I, ""how kind, how very good you are to me.",Mary Wollstonecraft Shelley 
19159,id25006,I think I went mad then.,HP Lovecraft
3762,id12783,"Those who have been nauseated with a sad dose on the same august topic from the goose quill of the editor of the ""Gad Fly"" will do well to compare the two compositions.",Edgar Alan Poe
8409,id15644,"The original, for instance, is long, and verbose, is headed ""A Pocket Book Lost"" and requires the treasure, when found, to be left at No. Tom Street.",Edgar Alan Poe
